gc 130 @0.049s 12%: 0.067+0.086+0.002 ms clock, 0.53+0.070/0.090/0+0.020 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 131 @0.049s 12%: 0.049+0.11+0.002 ms clock, 0.39+0.097/0.12/0+0.016 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 132 @0.050s 12%: 0.057+0.088+0.002 ms clock, 0.45+0.070/0.092/0+0.022 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 133 @0.050s 12%: 0.068+0.13+0.011 ms clock, 0.54+0.035/0.10/0+0.093 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 134 @0.050s 12%: 0.031+0.097+0.002 ms clock, 0.25+0.065/0.094/0+0.017 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 135 @0.051s 12%: 0.037+0.11+0.003 ms clock, 0.29+0.027/0.10/0+0.028 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 136 @0.051s 12%: 0.053+0.074+0.002 ms clock, 0.42+0.067/0.078/0+0.023 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 137 @0.051s 12%: 0.048+0.13+0.014 ms clock, 0.39+0.039/0.10/0+0.11 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 138 @0.052s 12%: 0.048+0.10+0.001 ms clock, 0.39+0.065/0.099/0+0.013 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 139 @0.052s 12%: 0.054+0.10+0.002 ms clock, 0.43+0.033/0.10/0+0.019 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 140 @0.052s 12%: 0.052+0.084+0.002 ms clock, 0.41+0.073/0.084/0+0.019 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 141 @0.052s 12%: 0.048+0.10+0.003 ms clock, 0.38+0.038/0.10/0+0.029 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 142 @0.053s 12%: 0.034+0.080+0.002 ms clock, 0.27+0.064/0.086/0+0.017 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 143 @0.053s 12%: 0.030+0.13+0.002 ms clock, 0.24+0.036/0.11/0+0.023 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 144 @0.053s 12%: 0.033+0.083+0.001 ms clock, 0.27+0.067/0.082/0+0.015 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
